Course-type,Title,Institution,City,Subject,Language,Language level,Beginning,Application deadline,Preparation for,Preparation for subject groups,Teaching language,Financial support,Specific support for int. students and doctoral candidates,Structured research and supervision,Scholarships,Fully online,Hybrid,Partly online,Fully on-site,Costs (Taka),Tuition fees (Taka per semester),Duration (Semesters),Duration (Months),Duration (Years),Course enroll End Date,Course enroll Start Date,Registration Deadline
Master's degree , Design Leadership (MSc) , Technische Hochschule Ingolstadt , Ingolstadt,Design,English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,3.0,18.0,1.5,,,
Master's degree , Design Management (MA) , SRH Fernhochschule – The Distance Learning University , Riedlingen,Design,English,,Other,No application deadline,,,,No,No,No,No,Yes,No,No,No,,,2.0,12.0,1.0,,,
Short course , Design Thinking: Design Science – Designerly Ways , Bauhaus-Universität Weimar , Weimar,Architecture,English,"English: B1, B2, C1, C2",,No application deadline,,,,No,No,No,No,No,No,No,Yes,83510.7,,,,,31/08/2024,17/08/2024,01/05/2024
Master's degree , Dessau International Architecture Graduate School (DIA) , Anhalt University of Applied Sciences , Dessau-Roßlau,Architecture,English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,102875.5,4.0,24.0,2.0,,,
Short course , Dessau Summer School of Architecture , Anhalt University of Applied Sciences , Dessau-Roßlau,Architecture,English,English: B2,,No application deadline,,,,No,No,No,No,No,No,No,Yes,127081.5,,,,,12/07/2024,03/06/2024,29/02/2024
Language course , Deutsch in Weimar , Bauhaus-Universität Weimar , Weimar,Languages and Cultural Studies in general,German,"German: A1, A2, B1, B2, C1, C2",,No application deadline,,,,No,No,No,Yes,No,No,No,Yes,90772.5,,,,,31/08/2024,07/08/2024,15/06/2024
Language course , Deutsch und Studieren in Deutschland (B2 und C1) , Augsburg Technical University of Applied Sciences , Augsburg,Preparatory Course for German Language Examinations,German,"German: B2, C1",,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,,,,,,
Master's degree , Development Studies , University of Bayreuth , Bayreuth,Social Science,English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Master's degree ," Development, Environment, Societies, and History of South Asia ", Heidelberg University , Heidelberg,Regional Studies,English,,"Winter semester, Summer semester",No application deadline,,,,No,No,No,No,No,No,Yes,No,,,4.0,24.0,2.0,,,
Master's degree ," Developmental, Neural, and Behavioural Biology (MSc/PhD) ", University of Göttingen , Göttingen,Biology,English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
PhD / Doctorate , DEWIN – Dynamics of Host-Pathogen Interactions , Hannover Medical School , Hannover,Biology,English,,Winter semester,1 March for the following winter semester,,,,No,No,No,No,No,No,No,Yes,,,6.0,36.0,3.0,,,
PhD / Doctorate ," DFG – Research Training Group ""Family Matters"" ", Ludwig-Maximilians-Universität München , München,Languages and Cultural Studies in general,German,,Summer semester,15 November 2023,,,,No,No,No,No,No,No,No,Yes,,,8.0,48.0,4.0,,,
Preparatory course , DHBW Bridge-Year , Baden-Wuerttemberg Cooperative State University Heidenheim , Heidenheim an der Brenz,,,,,No application deadline,Bachelor,"Engineering | Law, Economics and Social Sciences",German | English,No,No,No,No,No,No,No,Yes,,,,,,31/08/2025,01/09/2025,31/03/2024
Language course , Didactics: Teaching German as a Foreign Language – Aachener Sprachsommer 2024 , FH Aachen University of Applied Sciences , Aachen,Didactics of German as a Foreign Language,German,"German: C1, C2",,No application deadline,,,,No,No,No,Yes,No,No,No,Yes,81090.1,,,,,29/08/2024,02/08/2024,30/06/2024
Master's degree , Digital Business Management & Leadership (MSc) , Hochschule Fresenius - University of Applied Sciences , Köln,Business and Economics,English,,"Winter semester, Summer semester",No application deadline,,,,No,No,No,No,No,No,No,Yes,,639038.4,4.0,24.0,2.0,,,
Master's degree , Digital Business Management & Leadership (MSc) , Hochschule Fresenius - University of Applied Sciences , Berlin,Business and Economics,English,,"Winter semester, Summer semester",No application deadline,,,,No,No,No,No,No,No,No,Yes,,639038.4,4.0,24.0,2.0,,,
Master's degree , Digital Business Modelling and Entrepreneurship , Hochschule der Bayerischen Wirtschaft (HDBW) , München,Business and Economics,English,,"Winter semester, Summer semester",No application deadline,,,,No,No,No,No,No,No,No,Yes,,522849.6,3.0,18.0,1.5,,,
Master's degree , Digital Business Strategy MA , accadis Hochschule Bad Homburg | University of Applied Sciences , Bad Homburg vor der Höhe,Business and Economics,English,,Trimester and quarter,No application deadline,,,,No,No,No,No,No,No,No,Yes,,689871.0,4.0,24.0,2.0,,,
Short course , Digital Currencies and Blockchain Technology , Bremen University of Applied Sciences , Bremen,Business and Economics,English,"English: B2, C1, C2",,No application deadline,,,,No,No,No,No,No,No,No,Yes,108927.0,,,,,22/08/2024,05/08/2024,03/04/2024
Master's degree , Digital Engineering , Bauhaus-Universität Weimar , Weimar,Engineering in general,English,,"Winter semester, Summer semester",No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Master's degree , Digital Engineering (DigiEng) , Otto von Guericke University Magdeburg , Magdeburg,Computer Science,English,,"Winter semester, Summer semester",No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Master's degree , Digital Factory and Operational Excellence – Master of Science in Industrial Engineering with Business Studies , Hochschule der Bayerischen Wirtschaft (HDBW) , München,Industrial Engineering,English,,"Winter semester, Summer semester",No application deadline,,,,No,No,No,No,No,No,Yes,No,,522849.6,3.0,18.0,1.5,,,
Bachelor's degree , Digital Games (Bachelor of Arts) , TH Köln (University of Applied Sciences) , Köln,Design,English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,7.0,42.0,3.5,,,
Master's degree , Digital Games (Master of Arts) , TH Köln (University of Applied Sciences) , Köln,Design,English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,3.0,18.0,1.5,,,
Master's degree , Digital Logistics Management (Joint Master's) , Technical University of Applied Sciences Wildau , Wildau,"Transport Engineering, Nautical Science",English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Master's degree , Digital Media , University of Bremen , Bremen,Computer Science,English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Bachelor's degree , Digital Media (BA) , Leuphana University Lüneburg , Lüneburg,Design,English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,6.0,36.0,3.0,,,
Master's degree , Digital Media and Society , University of Bremen , Bremen,"Library, Documentation and Media Studies",English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
PhD / Doctorate , Digital Platform Ecosystems (DFG Research Training Group 2720) , University of Passau , Passau,"Law, Economics and Social Sciences in general",German,,Any time,"The application deadline varies, depending on the advertised fellowships.
Contact details of the research traini…",,,,No,No,No,No,No,No,No,Yes,,,6.0,36.0,3.0,,,
Master's degree , Digital Procurement & Sustainable Supply Chain Management , Technische Hochschule Ingolstadt , Ingolstadt,Industrial Engineering,German,,"Winter semester, Summer semester",No application deadline,,,,No,No,No,No,No,No,No,Yes,,,3.0,18.0,1.5,,,
Master's degree , Digital Sciences (Master of Science) , TH Köln (University of Applied Sciences) , Köln,Computer Science,English,,"Winter semester, Summer semester",No application deadline,,,,No,No,No,No,No,No,No,Yes,,,3.0,18.0,1.5,,,
Master's degree , Digital Studies of Ancient Texts (DISTANT) , Freie Universität Berlin , Berlin,Civilisation Studies in the narrower sense,English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Master's degree , Digital Technologies (MSc) , Ostfalia University of Applied Sciences - Hochschule Braunschweig/Wolfenbüttel , Wolfenbüttel,Computer Science,German,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Bachelor's degree ," Digital Technology and Management BSc, full-time ", Ostbayerische Technische Hochschule Amberg-Weiden (OTH) , Weiden in der Oberpfalz,Industrial Engineering,English,,"Winter semester, Summer semester",No application deadline,,,,No,No,No,No,No,No,Yes,No,,,7.0,42.0,3.5,,,
Short course and language course , Digital Transformation (Hessen: IWU – International Winter University) , Darmstadt University of Applied Sciences , Darmstadt,"Law, Economics and Social Sciences in general",English,"English: B1, B2, C1, C2",,No application deadline,,,,No,No,No,No,No,No,Yes,No,254163.0,,,,,13/01/2024,28/12/2024,01/11/2023
Master's degree , Digital Transformation Management (MSc) , SRH Berlin University of Applied Sciences , Hamburg,Business and Economics,English,,"Winter semester, Summer semester",No application deadline,,,,No,No,No,No,No,No,No,Yes,,780643.5,4.0,24.0,2.0,,,
Master's degree , Digitalisation & Law , Julius-Maximilians-Universität Würzburg , Würzburg,Law,English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,Yes,No,,302575.0,3.0,18.0,1.5,,,
Master's degree , Digitalisation and Innovation (MBA) , Hof University of Applied Sciences , Hof,Business and Economics,English,,"Winter semester, Summer semester",No application deadline,,,,No,No,No,No,No,No,No,Yes,,399399.0,4.0,24.0,2.0,,,
Master's degree , Digitalised Energy Systems , Carl von Ossietzky University of Oldenburg , Oldenburg,Computer Science,English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
PhD / Doctorate , Doctoral Programme - Statistics: Theory and Methods for Empirical Modelling , Ludwig-Maximilians-Universität München , München,"Mathematics, Natural Sciences in general",English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
PhD / Doctorate , Doctoral Programme / EBS Business School , EBS Universität für Wirtschaft und Recht , Oestrich-Winkel,Business and Economics,English,,"Winter semester, Summer semester","To apply as a doctoral student, applicants need to obtain a promise of doctoral supervision by a senior professor of EBS Business School an…",,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
PhD / Doctorate , Doctoral Programme Classical and Ancient Studies (PAW) , Ludwig-Maximilians-Universität München , München,Classical Philology,German,,Any time,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,6.0,36.0,3.0,,,
PhD / Doctorate , Doctoral Programme Environment and Society , Ludwig-Maximilians-Universität München , München,Languages and Cultural Studies in general,English,,"Winter semester, Summer semester",Applications have to be admitted via the online application portal by 15 May for the winter semester and 15 November for the summer semest…,,,,No,No,No,No,No,No,No,Yes,,,6.0,36.0,3.0,,,
PhD / Doctorate , Doctoral Programme in Buddhist Studies , Ludwig-Maximilians-Universität München , München,Languages and Cultural Studies in general,German,,"Winter semester, Summer semester","1 June (to start in October), 1 December (to start in April)",,,,No,No,No,No,No,No,No,Yes,,,6.0,36.0,3.0,,,
PhD / Doctorate , Doctoral Programme in Clinical Pharmacy , Ludwig-Maximilians-Universität München , München,Pharmacy,German,,Any time,Applications can only be submitted when the programme has open calls.,,,,No,No,No,No,No,No,Yes,No,,,6.0,36.0,3.0,,,
PhD / Doctorate , Doctoral Programme in Law (Doctor Juris) , University of Münster , Münster,Law,German,,Any time,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
PhD / Doctorate , Doctoral Programme in Modern and Contemporary History (ProMoHist) , Ludwig-Maximilians-Universität München , München,History,German,,"Winter semester, Summer semester",Exact deadlines will be published on the webpage.,,,,No,No,No,No,No,No,No,Yes,,,6.0,36.0,3.0,,,
PhD / Doctorate , Doctoral Programme in Neuroscience , University of Tübingen , Tübingen,"Mathematics, Natural Sciences in general",English,,Any time,Students pursuing a doctoral degree can apply throughout the year – there are no application deadlines.,,,,No,No,No,No,No,No,No,Yes,,,6.0,36.0,3.0,,,
PhD / Doctorate , Doctoral Programme in the Field of Cognition , Max Planck School of Cognition , Leipzig,Psychology,English,,Winter semester,The application opens every September and the deadline is 1 December every year.,,,,No,No,No,No,No,Yes,No,No,,,8.0,48.0,4.0,,,
PhD / Doctorate , Doctoral Programme of the School of Business and Economics , FAU Erlangen-Nürnberg , Nürnberg,Business and Economics,German,,Any time,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,6.0,36.0,3.0,,,
Graduate school , Doctoral Studies at the University of Bamberg , University of Bamberg , Bamberg,,,,,No application deadline,,,,Yes,Accompanying programme | Specialist counselling | Cultural and linguistic preparation | Visa matters | Welcome event | Help with finding accommodation | Support with registration procedures,Yes,No,No,No,No,Yes,,,,,,,,
PhD / Doctorate , Doctoral Training Programme in the Learning Sciences (DTP-LS) , Ludwig-Maximilians-Universität München , München,Psychology,English,,Winter semester,"All students – online application: 1 March
for the following winter semester…",,,,No,No,No,No,No,No,No,Yes,,,6.0,36.0,3.0,,,
Master's degree , Double Degree in Chemistry and Chemical Engineering , Julius-Maximilians-Universität Würzburg , Würzburg,Chemistry,German,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,7.0,42.0,3.5,,,
Master's degree , Double Degree in Management of Small and Mid-Sized Companies (MA) , HTW Dresden - University of Applied Sciences , Dresden,Business and Economics,German,,Summer semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,3.0,18.0,1.5,,,
Master's degree ," Double Degree Programme in Management of Educational Services, Adult and Continuing Education ", Julius-Maximilians-Universität Würzburg , Würzburg,Education,English,,Winter semester,No application deadline,,,,No,No,No,No,No,Yes,No,No,,,4.0,24.0,2.0,,,
Master's degree , Double Degree Programmes in Business Sciences , University of Bamberg , Bamberg,Business and Economics,German,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Master's degree , Double MA Degree in Political Science , University of Bamberg , Bamberg,Political Science,English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Master's degree , Double MA Degree in Sociology , University of Bamberg , Bamberg,Social Science,English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Master's degree , Double Master's Programme in Business Administration - Master of Science , University of Cologne , Köln,Business and Economics,English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,Yes,No,,,4.0,24.0,2.0,,,
Master's degree , Double Master's Programme in Demography and Social Inequality (Master of Science) , University of Cologne , Köln,Political Science,English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,Yes,No,,,4.0,24.0,2.0,,,
Master's degree , Double Master's Programme in Economics - Master of Science , University of Cologne , Köln,Business and Economics,English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,Yes,No,,,4.0,24.0,2.0,,,
Master's degree , Double Master's Programme in European Studies - Master of Arts , University of Cologne , Köln,Political Science,English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,Yes,No,,,4.0,24.0,2.0,,,
Master's degree , Double Master's Programme in Health Economics and Management (Master of Science) , University of Cologne , Köln,Business and Economics,English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,Yes,No,,,4.0,24.0,2.0,,,
PhD / Doctorate , Dresden International Graduate School for Biomedicine and Bioengineering (DIGS-BB) , Technische Universität Dresden , Dresden,"Mathematics, Natural Sciences in general",English,,Any time,"Applications are accepted twice a year via an online application system. For 2023/2024 applications, please check our website for updates: www.digs-b…",,,,No,No,No,No,No,No,No,Yes,,,8.0,48.0,4.0,,,
Language course , DSH Course , Paderborn University , Paderborn,German Language Course (including Literature and Culture Studies),German,"German: A2, B1, B2, C1",,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,,,,,,
Language course , DSH Course+ , University of Potsdam , Potsdam,Preparatory Course for German Language Examinations,German,"German: B2, C1, C2",,No application deadline,,,,No,No,No,No,No,No,Yes,No,48412.0,,,,,19/07/2024,08/04/2024,15/01/2024
Preparatory course , DSH Preparation Course , University of Münster , Münster,,,,,No application deadline,Bachelor | Master | State examination,"Art, Art Theory | Languages and Cultural Studies | Law, Economics and Social Sciences | Mathematics, Natural Sciences | Medicine | Sport",German,No,No,No,No,No,No,No,Yes,,,,,,27/06/2024,30/01/2024,30/11/2023
Language course , Duesseldorf International Summer School: Two / Four Weeks Summer Courses , Heinrich Heine University Düsseldorf , Düsseldorf,German Language Course (including Literature and Culture Studies),German,"German: A2, B1, B2, C1",,No application deadline,,,,No,No,No,No,No,No,No,Yes,66566.5,,,,,30/08/2024,05/08/2024,30/06/2024
Master's degree , Durham University & EBS Universität Executive MBA , EBS Universität für Wirtschaft und Recht , Oestrich-Winkel,Business and Economics,English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,3.0,18.0,1.5,,,
Bachelor's degree , E-Commerce , Rosenheim Technical University of Applied Sciences , Traunstein,Business and Economics,English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,Yes,No,,,7.0,42.0,3.5,,,
Master's degree , E-Government (MSc) , University of Koblenz , Koblenz,Computer Science,English,,"Winter semester, Summer semester",No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Bachelor's degree , E-Mobility and Autonomous Driving (BSc Electrical Engineering) , Hochschule Mannheim - University of Applied Sciences , Mannheim,Electrical Engineering,English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,181545.0,7.0,42.0,3.5,,,
Bachelor's degree , E-Mobility and Green Energy , University of Applied Sciences Ravensburg-Weingarten , Weingarten,Electrical Engineering,German,,Summer semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,181545.0,7.0,42.0,3.5,,,
Master's degree , Earth and Climate System Science , University of Hohenheim , Stuttgart,Earth Sciences (excluding Geography),English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Master's degree , Earth Sciences – Georesources and the Environment , University of Greifswald , Greifswald,Earth Sciences (excluding Geography),English,,"Winter semester, Summer semester",No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Master's degree , Earth System Data Science and Remote Sensing , Leipzig University , Leipzig,Earth Sciences (excluding Geography),English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Master's degree , East European Studies (MA) , Freie Universität Berlin , Berlin,Regional Studies,German,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Master's degree , East-West Studies. Europe in Discourse (Ost-West-Studien. Europa im Diskurs) , Universität Regensburg , Regensburg,Languages and Cultural Studies in general,German,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Master's degree , Eastern European Cultural Studies , University of Potsdam , Potsdam,"Slavonic, Baltic, Finno-Ugrian Studies",German,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Master's degree , EBI Master's in EU Banking & Financial Regulation (LLM) , Frankfurt School of Finance & Management , Frankfurt am Main,Law,English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,904699.25,4.0,24.0,2.0,,,
Short course , Ecological Infrastructures: The Imperative to [Re]design Urban Habitats with Nature , Bauhaus-Universität Weimar , Weimar,Architecture,English,"English: B1, B2, C1, C2",,No application deadline,,,,No,No,No,No,No,No,Yes,No,95613.7,,,,,31/08/2024,17/08/2024,01/05/2024
Master's degree , Ecology , University of Bremen , Bremen,Biology,English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Master's degree , Ecology and Environmental Change , Bielefeld University , Bielefeld,Biology,English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Master's degree ," Ecology, Master of Science ", Julius-Maximilians-Universität Würzburg , Würzburg,Biology,English,,"Winter semester, Summer semester",No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Master's degree , Econometrics , TU Dortmund University , Dortmund,"Mathematics, Natural Sciences in general",English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Master's degree , Economic Behaviour & Governance (EB&Go) , University of Kassel , Kassel,Business and Economics,English,,"Winter semester, Summer semester",No application deadline,,,,No,No,No,No,No,No,No,Yes,,,3.0,18.0,1.5,,,
Master's degree , Economic Policy , University of Siegen , Siegen,Business and Economics,English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Master's degree , Economic Policy Analysis , Otto von Guericke University Magdeburg , Magdeburg,Business and Economics,English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Master's degree , Economic Policy and Quantitative Methods (EPQM) , University of Potsdam , Potsdam,"Law, Economics and Social Sciences in general",English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Master's degree , Economic Research – Master of Science , University of Cologne , Köln,Business and Economics,English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,Yes,No,,,4.0,24.0,2.0,,,
Master's degree , Economics , University of Bayreuth , Bayreuth,"Law, Economics and Social Sciences in general",English,,"Winter semester, Summer semester",No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Master's degree , Economics , University of Bonn , Bonn,Business and Economics,English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Master's degree , Economics , University of Münster , Münster,"Law, Economics and Social Sciences in general",German,,"Winter semester, Summer semester",No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Master's degree , Economics , Heinrich Heine University Düsseldorf , Düsseldorf,Business and Economics,English,,"Winter semester, Summer semester",No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Master's degree , Economics , Osnabrück University , Osnabrück,Business and Economics,English,,"Winter semester, Summer semester",No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Master's degree , Economics , Universität Regensburg , Regensburg,Business and Economics,English,,"Winter semester, Summer semester",No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Bachelor's degree , Economics (BSc) , Leuphana University Lüneburg , Lüneburg,Business and Economics,English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,6.0,36.0,3.0,,,
Master's degree , Economics (Master of Science) , University of Konstanz , Konstanz,Business and Economics,English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Master's degree , Economics (MSE) , FAU Erlangen-Nürnberg , Nürnberg,Business and Economics,English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Master's degree ," Economics and Finance, MSc ", Rhine-Waal University of Applied Sciences , Kleve,Business and Economics,English,,"Winter semester, Summer semester",No application deadline,,,,No,No,No,No,No,No,No,Yes,,,3.0,18.0,1.5,,,
Master's degree , Economics and Institutions (MSc) , Philipps-Universität Marburg , Marburg,Business and Economics,English,,"Winter semester, Summer semester",No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Master's degree , Economics of the Middle East (EMEA) , Philipps-Universität Marburg , Marburg,Business and Economics,English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Master's degree , Economics – Master of Science , University of Cologne , Köln,Business and Economics,English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,Yes,No,,,4.0,24.0,2.0,,,
Master's degree , Economics: Data Science and Policy , Martin Luther University Halle-Wittenberg , Halle (Saale),Business and Economics,English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Bachelor's degree , Ecosystem Sciences (BSc) , University of Göttingen , Göttingen,Biology,English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,6.0,36.0,3.0,,,
Master's degree , Ecosystem Services , Technische Universität Dresden , Zittau,"Law, Economics and Social Sciences in general",English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Master's degree , Ecumenical and Extended Ecumenical Studies , University of Bonn , Bonn,Protestant Theology,English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,2.0,12.0,1.0,,,
PhD / Doctorate , Einstein Center of Catalysis / Berlin International Graduate School of Natural Sciences and Engineering (EC2/BIG-NSE) , Technische Universität Berlin , Berlin,Chemistry,English,,Winter semester,15 January for the following winter semester,,,,No,No,No,No,No,No,Yes,No,,,6.0,36.0,3.0,,,
Master's degree , Electric Vehicle Propulsion and Control (E-PiCo) , Kiel University , Kiel,Electrical Engineering,English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Master's degree , Electrical and Computer Engineering (M Eng) , Anhalt University of Applied Sciences , Köthen / Anhalt,Electrical Engineering,English,,"Winter semester, Summer semester",No application deadline,,,,No,No,No,No,No,No,No,Yes,,,3.0,18.0,1.5,,,
Bachelor's degree , Electrical and Electronic Engineering , University of Duisburg-Essen , Duisburg,Electrical Engineering,German,,Winter semester,No application deadline,,,,No,No,No,No,No,No,Yes,No,,,6.0,36.0,3.0,,,
Bachelor's degree ," Electrical and Electronics Engineering, BSc ", Rhine-Waal University of Applied Sciences , Kleve,Electrical Engineering,English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,7.0,42.0,3.5,,,
Master's degree , Electrical and Microsystems Engineering , OTH Regensburg , Regensburg,Engineering in general,English,,"Winter semester, Summer semester",No application deadline,,,,No,No,No,No,No,No,No,Yes,,,3.0,18.0,1.5,,,
Master's degree , Electrical Communication Engineering (MSc) , University of Kassel , Kassel,Electrical Engineering,English,,"Winter semester, Summer semester",No application deadline,,,,No,No,No,No,No,No,No,Yes,,,3.0,18.0,1.5,,,
Master's degree , Electrical Engineering , Kempten University of Applied Sciences , Kempten (Allgäu),Electrical Engineering,English,,"Winter semester, Summer semester",No application deadline,,,,No,No,No,No,No,No,No,Yes,,,3.0,18.0,1.5,,,
Master's degree , Electrical Engineering , University of Stuttgart , Stuttgart,Electrical Engineering,English,,"Winter semester, Summer semester",No application deadline,,,,No,No,No,No,No,No,Yes,No,,,4.0,24.0,2.0,,,
Master's degree , Electrical Engineering (EE) , University of Rostock , Rostock,Electrical Engineering,English,,"Winter semester, Summer semester",No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Master's degree , Electrical Engineering (Electronics Design or Communication Engineering) , University of Siegen , Siegen,Electrical Engineering,English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Master's degree , Electrical Engineering / Maestría en Diseño de Sistemas Electrónicos aplicados a la Agronomía , Hochschule Bonn-Rhein-Sieg , Sankt Augustin,Electrical Engineering,German,,Summer semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Master's degree , Electrical Engineering and Embedded Systems , University of Applied Sciences Ravensburg-Weingarten , Weingarten,Electrical Engineering,English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,181545.0,3.0,18.0,1.5,,,
Bachelor's degree , Electrical Engineering and Information Technology , University of Applied Sciences Ravensburg-Weingarten , Weingarten,Electrical Engineering,German,,Summer semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,181545.0,7.0,42.0,3.5,,,
Master's degree , Electrical Engineering and Information Technology , Otto von Guericke University Magdeburg , Magdeburg,Electrical Engineering,English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Bachelor's degree , Electrical Engineering and Information Technology , Karlsruhe University of Applied Sciences , Karlsruhe,Electrical Engineering,English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,7.0,42.0,3.5,,,
