Course-type,Title,Institution,City,Subject,Language,Language level,Beginning,Application deadline,Preparation for,Preparation for subject groups,Teaching language,Financial support,Specific support for int. students and doctoral candidates,Structured research and supervision,Scholarships,Fully online,Hybrid,Partly online,Fully on-site,Costs (Taka),Tuition fees (Taka per semester),Duration (Semesters),Duration (Months),Duration (Years),Course enroll End Date,Course enroll Start Date,Registration Deadline
Language course , Preparatory German Language Courses , University of Göttingen , Göttingen,German Language Course (including Literature and Culture Studies),German,"German: A1, A2, B1, B2, C1",,No application deadline,,,,No,No,No,No,No,Yes,No,No,,,,,,,,
Preparatory course , Preparatory Semester: PreBachelor Programme at the TU Darmstadt , Technical University of Darmstadt , Darmstadt,,,,,No application deadline,Bachelor,"Engineering | Mathematics, Natural Sciences",German,No,No,No,No,No,No,Yes,No,,,,,,31/08/2024,01/04/2024,29/02/2024
Bachelor's degree , Print Media Technologies , Hochschule der Medien , Stuttgart,Engineering in general,English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,7.0,42.0,3.5,,,
Bachelor's degree , Process Automation (Specialisation in the International Bachelor of Engineering) , Rosenheim Technical University of Applied Sciences , Rosenheim,Engineering in general,German,,Summer semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,8.0,48.0,4.0,,,
Master's degree , Process Engineering and Energy Technology , Bremerhaven University of Applied Sciences , Bremerhaven,Mechanical Engineering / Process Engineering,English,,"Winter semester, Summer semester",No application deadline,,,,No,No,No,No,No,No,No,Yes,,,3.0,18.0,1.5,,,
Master's degree , Process Safety and Environmental Engineering (PSEE) , Otto von Guericke University Magdeburg , Magdeburg,Mechanical Engineering / Process Engineering,English,,"Winter semester, Summer semester",No application deadline,,,,No,No,No,No,No,No,No,Yes,,,3.0,18.0,1.5,,,
Bachelor's degree ," Production & Automation (Consecutive Bachelor's + Master's Programme, German/French) | Produktion und Automatisierung (deutsch-französischer, konsekutiver Bachelor-/Masterstudiengang) ", Hochschule München University of Applied Sciences , München,Engineering in general,German,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,9.0,54.0,4.5,,,
Master's degree ," Production & Operations Management (MSc, Executive) at HECTOR School ", Karlsruhe Institute of Technology , Karlsruhe,Mechanical Engineering / Process Engineering,English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,907725.0,4.0,24.0,2.0,,,
Short course , Production Technology Meets Industry 4.0 | Summer School , RWTH Aachen University , Aachen,Mechanical Engineering / Process Engineering,English,English: B2,,No application deadline,,,,No,No,No,No,No,No,No,Yes,361879.7,,,,,01/04/2024,01/04/2024,01/04/2024
Master's degree , Professional IT Business & Digitalisation , HTW Berlin University of Applied Sciences , Berlin,Computer Science,English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,574892.5,3.0,18.0,1.5,,,
Master's degree ," Protein Chemistry, Master of Science ", Julius-Maximilians-Universität Würzburg , Würzburg,Biology,English,,"Winter semester, Summer semester",No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Short course , Psychoanalysis: The Unconscious as Seen through the Visual Arts and Literature , Freie Universität Berlin , Berlin,Psychology,English,English: B2,,No application deadline,,,,No,No,No,No,No,No,No,Yes,223905.5,,,,,13/07/2024,01/06/2024,04/05/2024
Master's degree , Psychology & Sustainability , Leuphana University Lüneburg , Lüneburg,Psychology,English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Bachelor's degree , Psychology (BSc) , Leuphana University Lüneburg , Lüneburg,Psychology,English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,6.0,36.0,3.0,,,
Master's degree , Psychology (Research) , Universität Hamburg , Hamburg,Psychology,German,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Master's degree , Public and International Economics , Technische Universität Dresden , Dresden,Business and Economics,English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Master's degree , Public Art and New Artistic Strategies (MFA) , Bauhaus-Universität Weimar , Weimar,Fine Arts,English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Master's degree ," Public Economics, Law and Politics (MA) ", Leuphana University Lüneburg , Lüneburg,Political Science,English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
PhD / Doctorate , Public International Law: Human Rights – International Economic and Environmental Law – International Criminal Law , University of Göttingen , Göttingen,Law,English,,Winter semester,All applicants: 30 March for the following winter semester ,,,,No,No,No,No,No,No,No,Yes,,,6.0,36.0,3.0,,,
Short course , Python for Data Analysis and Visualisation , Technische Universität Berlin , Berlin,Computer Science,English,English: B2,,No application deadline,,,,No,No,No,No,No,No,No,Yes,114978.5,,,,,12/07/2024,01/07/2024,31/05/2024
Bachelor's degree , Quantitative Biology , Heinrich Heine University Düsseldorf , Düsseldorf,Biology,English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,6.0,36.0,3.0,,,
Master's degree ," Quantitative Data Science Methods – Psychometrics, Econometrics and Machine Learning (QDS) ", University of Tübingen , Tübingen,Mathematics,English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,Yes,No,,181545.0,4.0,24.0,2.0,,,
Master's degree , Quantitative Economics , Bielefeld University , Bielefeld,Mathematics,English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,Yes,No,,,4.0,24.0,2.0,,,
Master's degree , Quantum Engineering (Master of Science) , Leibniz Universität Hannover , Hannover,"Physics, Astronomy",English,,"Winter semester, Summer semester",No application deadline,,,,No,No,No,No,No,No,Yes,No,,,4.0,24.0,2.0,,,
Master's degree , Quantum Science , University of Siegen , Siegen,"Mathematics, Natural Sciences in general",English,,"Winter semester, Summer semester",No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Master's degree , Quantum Science and Technology , Technical University Munich , Garching b. München,"Physics, Astronomy",English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Master's degree , Quantum Technologies and Engineering Erasmus Mundus Master (QuanTEEM) , RPTU University of Kaiserslautern-Landau , Kaiserslautern,"Physics, Astronomy",English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Master's degree , Quantum Technologies in Electrical and Computer Engineering (QTEC) , Technische Universität Braunschweig , Braunschweig,Electrical Engineering,English,,"Winter semester, Summer semester",No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Master's degree , Railway Systems Engineering , RWTH Aachen University , Aachen,"Transport Engineering, Nautical Science",English,,"Winter semester, Summer semester",No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Master's degree , Redesigning the Post-Industrial City (RePIC) , Ruhr-Universität Bochum , Bochum,Town and Country Planning,English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Master's degree , Refinement of Polymer and Composite Products , Kaiserslautern University of Applied Sciences , Pirmasens,Mechanical Engineering / Process Engineering,English,,"Winter semester, Summer semester",No application deadline,,,,No,No,No,No,No,No,No,Yes,,,3.0,18.0,1.5,,,
Master's degree , Regenerative Biology and Medicine , Technische Universität Dresden , Dresden,Biology,English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
PhD / Doctorate , Regensburg International Graduate School of Life Sciences (RIGeL) , Universität Regensburg , Regensburg,Biology,German,,Any time,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,6.0,36.0,3.0,,,
Master's degree , Religion and Global Futures , University of Bayreuth , Bayreuth,Social Science,English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Master's degree , Religion in the Public Sphere (Double Degree Option) , Leibniz Universität Hannover , Hannover,Social Science,English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Master's degree ," Religion, Ethics, and Politics ", TU Dortmund University , Dortmund,Political Science,English,,"Winter semester, Summer semester",No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Master's degree , Religious Studies , Ruhr-Universität Bochum , Bochum,Languages and Cultural Studies in general,English,,"Winter semester, Summer semester",No application deadline,,,,No,No,No,No,No,No,Yes,No,,,4.0,24.0,2.0,,,
Master's degree , Remote Sensing and Geoinformatics , Karlsruhe Institute of Technology , Karlsruhe,Earth Sciences (excluding Geography),English,,"Winter semester, Summer semester",No application deadline,,,,No,No,No,No,No,No,No,Yes,,181545.0,4.0,24.0,2.0,,,
Master's degree , Renaissance Studies , University of Bonn , Bonn,Languages and Cultural Studies in general,German,,"Winter semester, Summer semester",No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Master's degree , Renewable Energy and E-Mobility (REEM) , Stralsund University of Applied Sciences , Stralsund,Electrical Engineering,English,,"Winter semester, Summer semester",No application deadline,,,,No,No,No,No,No,No,No,Yes,,,3.0,18.0,1.5,,,
Master's degree , Renewable Energy Management (Master of Science) , TH Köln (University of Applied Sciences) , Köln,Engineering in general,English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Master's degree , Renewable Energy Master of Engineering (MEng) , Frankfurt University of Applied Sciences , Frankfurt am Main,Electrical Engineering,English,,"Winter semester, Summer semester",No application deadline,,,,No,No,No,No,No,No,No,Yes,,,3.0,18.0,1.5,,,
Master's degree , Renewable Energy Systems , Nordhausen University of Applied Sciences , Nordhausen,Engineering in general,English,,"Winter semester, Summer semester",No application deadline,,,,No,No,No,No,No,No,No,Yes,,,3.0,18.0,1.5,,,
Master's degree , Renewable Energy Systems (RES) , Technische Hochschule Ingolstadt , Ingolstadt,Mechanical Engineering / Process Engineering,English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,3.0,18.0,1.5,,,
Master's degree , Research in Media Engineering MSc Programme , Technische Universität Ilmenau , Ilmenau,Electrical Engineering,English,,"Winter semester, Summer semester",No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Master's degree , Research Master's in Neurocognitive Psychology , Carl von Ossietzky University of Oldenburg , Oldenburg,Psychology,English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
PhD / Doctorate , Research School for Advanced Photon Science (RS-APS) , Friedrich Schiller University Jena , Jena,"Physics, Astronomy",English,,Any time,No specific deadline,,,,No,No,No,No,No,No,No,Yes,,,6.0,36.0,3.0,,,
PhD / Doctorate , Research School for Data Science and Engineering , University of Potsdam , Potsdam,Computer Science,English,,"Winter semester, Summer semester",Applications have to be submitted by 1 February and 15 August.,,,,No,No,No,No,No,No,No,Yes,,,8.0,48.0,4.0,,,
PhD / Doctorate , Research School for Service-Oriented Systems Engineering , University of Potsdam , Potsdam,Computer Science,English,,"Winter semester, Summer semester",Applications have to be submitted by 1 February and 15 August.,,,,No,No,No,No,No,No,No,Yes,,,8.0,48.0,4.0,,,
PhD / Doctorate , Research Training Group of the Collaborative Research Centre 1369: Cultures of Vigilance , Ludwig-Maximilians-Universität München , München,Languages and Cultural Studies in general,German,,Other,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,8.0,48.0,4.0,,,
Master's degree , Resilient Civil Engineering (RCE) , RWTH Aachen University , Aachen,Civil Engineering,English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,726180.0,4.0,24.0,2.0,,,
Master's degree , Resource Efficiency in Architecture and Planning (REAP) , HafenCity University Hamburg , Hamburg,Engineering in general,English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Master's degree ," Responsibility in Science, Engineering and Technology (RESET) (MA) ", Technical University Munich , München,Social Science,English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Master's degree , Retail and Consumer Management , Technische Hochschule Ingolstadt , Ingolstadt,Business and Economics,English,,"Winter semester, Summer semester",No application deadline,,,,No,No,No,No,No,No,No,Yes,,,3.0,18.0,1.5,,,
Master's degree , Road Traffic Engineering , Westsächsische Hochschule Zwickau - University of Applied Sciences Zwickau , Zwickau,"Transport Engineering, Nautical Science",English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Master's degree , Roads to Democracies – Historical and Contemporary Perspectives on Politics and Culture , University of Siegen , Siegen,Social Science,English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Master's degree , Robotic Systems Engineering (RoboSys) , RWTH Aachen University , Aachen,Engineering in general,English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,726180.0,4.0,24.0,2.0,,,
Short course , Robotics for Future Industrial Applications | Summer School , RWTH Aachen University , Aachen,Computer Science,English,English: B2,,No application deadline,,,,No,No,No,No,No,No,No,Yes,361879.7,,,,,01/04/2024,01/04/2024,01/04/2024
PhD / Doctorate , RTG 2654: Sustainable Food Systems , University of Göttingen , Göttingen,"Agriculture, Forestry and Nutritional Sciences in general",English,,Any time,The deadline for the second cohort will be around January or February 2024. Please check our website for more information. https://www.uni-goetti…,,,,No,No,No,No,No,No,No,Yes,,,6.0,36.0,3.0,,,
PhD / Doctorate , RTG GRK 2338 Targets in Toxicology - Deciphering Therapeutic Targets in Lung Toxicology , Ludwig-Maximilians-Universität München , München,Medicine in general,English,,Other,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,6.0,36.0,3.0,,,
Graduate school , RUB Research School , Ruhr-Universität Bochum , Bochum,,,,,No application deadline,,,,Yes,Welcome event,Yes,No,No,No,No,Yes,,,,,,,,
Preparatory course , RWTH German Engineering College , RWTH Aachen University , Aachen,,,,,No application deadline,Master,Engineering,English,No,No,No,No,Yes,No,No,No,,,,,,01/07/2024,01/07/2024,01/07/2024
PhD / Doctorate , Saarbrücken Graduate School of Computer Science , Saarland University , Saarbrücken,Computer Science,English,,"Winter semester, Summer semester","The application deadlines are twice a year at the end of April and October for the following semester (October, April). Current information may always be f…",,,,No,No,No,No,No,No,No,Yes,,,9.0,54.0,4.5,,,
Master's degree , Saarbrücken Graduate School of Computer Science , Saarland University , Saarbrücken,Computer Science,English,,"Winter semester, Summer semester",No application deadline,,,,No,No,No,No,No,No,No,Yes,,,3.0,18.0,1.5,,,
Master's degree , SALES 4.0 | MSc in International Sales Management , ESCP Berlin Campus , Berlin,Business and Economics,English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Bachelor's degree ," Sales and Marketing, Bachelor of Arts ", Hochschule Niederrhein - University of Applied Sciences , Mönchengladbach,Business and Economics,English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,Yes,No,,,6.0,36.0,3.0,,,
Master's degree , Satellite Technology – Advanced Space Systems (SaTec) , Julius-Maximilians-Universität Würzburg , Würzburg,Computer Science,English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Short course , Schlüsselwerke der deutschen Literatur von der Klassik bis zur Gegenwart , Freie Universität Berlin , Berlin,"German Language and Literature (German, Germanic Languages except English)",German,"German: B2, C1, C2",,No application deadline,,,,No,No,No,No,No,No,No,Yes,157339.0,,,,,17/08/2024,20/07/2024,22/06/2024
Bachelor's degree , Science & Engineering , Fulda University of Applied Sciences , Fulda,Engineering in general,German,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,8.0,48.0,4.0,,,
Master's degree , Science and Technology of Materials , Technical University Munich , Garching b. München,Mechanical Engineering / Process Engineering,German,,"Winter semester, Summer semester",No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Master's degree , Science and Technology Studies , Technical University Munich , München,Social Science,English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
PhD / Doctorate , Science of Intelligence (SCIoI) , Technische Universität Berlin , Berlin,Computer Science,English,,Any time,Application window is 24 October to 24 November (for a start in the following summer/autumn…,,,,No,No,No,No,No,No,No,Yes,,,6.0,36.0,3.0,,,
Master's degree , Scientific Computing (Elite Network of Bavaria) , University of Bayreuth , Bayreuth,Mathematics,English,,"Winter semester, Summer semester",No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Language course , Seaside Summer Classes in German - Learn German at the Coast 2024 , Jade University of Applied Sciences Wilhelmshaven/Oldenburg/Elsfleth , Wilhelmshaven,German Language Course (including Literature and Culture Studies),German,"German: A1, A2, B1, B2, C1, C2",,No application deadline,,,,No,No,No,Yes,No,No,No,Yes,70197.4,,,,,23/08/2024,29/07/2024,31/05/2024
Short course , Seduction and Terror: Hitler's Germany , Freie Universität Berlin , Berlin,History,English,English: B2,,No application deadline,,,,No,No,No,No,No,No,No,Yes,223905.5,,,,,13/07/2024,01/06/2024,04/05/2024
